CallAccountShortName;ExecDate;Currency;Nominal;vextir;bp
bank6;2020-01-02;ISK;-9127832,709;REIBOR O/N;0
bank7;2020-01-02;EUR;26406,34875;ESTR O/N;0
bank8;2020-01-02;USD;373447340,3;SOFR O/N;-100
bank9;2020-01-02;USD;0;BGCR O/N;100
bank10;2020-01-02;USD;0,317719549;EFFR O/N;200
bank11;2020-01-02;USD;-3954877,026;TGCR O/N;0
bank12;2020-01-02;USD;19073,05847;OBFR O/N;0
bank13;2020-01-02;ISK;324188370,6;REIBOR O/N;-100
bank14;2020-01-02;EUR;0;ESTR O/N;100
bank15;2020-01-02;USD;0,378603422;SOFR O/N;200
bank16;2020-01-02;USD;-5120581,358;BGCR O/N;0
bank17;2020-01-02;USD;23414,93851;EFFR O/N;0
bank18;2020-01-02;USD;258915154,7;TGCR O/N;-100
bank19;2020-01-02;USD;0;OBFR O/N;100
bank20;2020-01-02;ISK;0,241402788;REIBOR O/N;200
bank1;2020-01-03;USD;-6832819,901;SOFR O/N;0
bank2;2020-01-03;USD;31267,87651;BGCR O/N;0
bank3;2020-01-03;USD;258818394,8;EFFR O/N;-100
bank4;2020-01-03;USD;0;TGCR O/N;100
bank5;2020-01-03;USD;0,349093231;OBFR O/N;200
bank6;2020-01-03;ISK;-9264750,199;REIBOR O/N;0
bank7;2020-01-03;EUR;26406,34875;ESTR O/N;0
bank8;2020-01-03;USD;373447340,3;SOFR O/N;-100
bank9;2020-01-03;USD;0;BGCR O/N;100
bank10;2020-01-03;USD;0,317719549;EFFR O/N;200
bank11;2020-01-03;USD;-3954877,026;TGCR O/N;0
bank12;2020-01-03;USD;18882,32789;OBFR O/N;0
bank13;2020-01-03;ISK;329051196,2;REIBOR O/N;-100
bank14;2020-01-03;EUR;0;ESTR O/N;100
bank15;2020-01-03;USD;0,374817388;SOFR O/N;200
bank16;2020-01-03;USD;-5120581,358;BGCR O/N;0
bank17;2020-01-03;USD;23766,16259;EFFR O/N;0
bank18;2020-01-03;USD;256326003,1;TGCR O/N;-100
bank19;2020-01-03;USD;0;OBFR O/N;100
bank20;2020-01-03;ISK;0,24502383;REIBOR O/N;200
bank1;2020-01-04;USD;-6832819,901;SOFR O/N;0
bank2;2020-01-04;USD;31736,89465;BGCR O/N;0
bank3;2020-01-04;USD;258818394,8;EFFR O/N;-100
bank4;2020-01-04;USD;0;TGCR O/N;100
bank5;2020-01-04;USD;0,345602299;OBFR O/N;200
bank6;2020-01-04;ISK;-9403721,452;REIBOR O/N;0
bank7;2020-01-04;EUR;26406,34875;ESTR O/N;0
bank8;2020-01-04;USD;369712866,9;SOFR O/N;-100
bank9;2020-01-04;USD;0;BGCR O/N;100
bank10;2020-01-04;USD;0,322485343;EFFR O/N;200
bank11;2020-01-04;USD;-3954877,026;TGCR O/N;0
bank12;2020-01-04;USD;19165,5628;OBFR O/N;0
bank13;2020-01-04;ISK;329051196,2;REIBOR O/N;-100
bank14;2020-01-04;EUR;0;ESTR O/N;100
bank15;2020-01-04;USD;0,380439649;SOFR O/N;200
bank16;2020-01-04;USD;-5069375,544;BGCR O/N;0
bank17;2020-01-04;USD;24122,65503;EFFR O/N;0
bank18;2020-01-04;USD;260170893,2;TGCR O/N;-100
bank19;2020-01-04;USD;0;OBFR O/N;100
bank20;2020-01-04;ISK;0,24502383;REIBOR O/N;200
bank1;2020-01-05;USD;-6832819,901;SOFR O/N;0
bank2;2020-01-05;USD;31736,89465;BGCR O/N;0
bank3;2020-01-05;USD;262700670,7;EFFR O/N;-100
bank4;2020-01-05;USD;0;TGCR O/N;100
bank5;2020-01-05;USD;0,342146276;OBFR O/N;200
bank6;2020-01-05;ISK;-9309684,238;REIBOR O/N;0
bank7;2020-01-05;EUR;26802,44398;ESTR O/N;0
bank8;2020-01-05;USD;369712866,9;SOFR O/N;-100
bank9;2020-01-05;USD;0;BGCR O/N;100
bank10;2020-01-05;USD;0,319260489;EFFR O/N;200
bank11;2020-01-05;USD;-3915328,256;TGCR O/N;0
bank12;2020-01-05;USD;19453,04625;OBFR O/N;0
bank13;2020-01-05;ISK;329051196,2;REIBOR O/N;-100
bank14;2020-01-05;EUR;0;ESTR O/N;100
bank15;2020-01-05;USD;0,380439649;SOFR O/N;200
bank16;2020-01-05;USD;-5069375,544;BGCR O/N;0
bank17;2020-01-05;USD;24122,65503;EFFR O/N;0
bank18;2020-01-05;USD;264073456,6;TGCR O/N;-100
bank19;2020-01-05;USD;0;OBFR O/N;100
bank20;2020-01-05;ISK;0,248699188;REIBOR O/N;200
bank1;2020-01-06;USD;-6935312,2;SOFR O/N;0
bank2;2020-01-06;USD;31736,89465;BGCR O/N;0
bank3;2020-01-06;USD;266641180,8;EFFR O/N;-100
bank4;2020-01-06;USD;0;TGCR O/N;100
bank5;2020-01-06;USD;0,342146276;OBFR O/N;200
bank6;2020-01-06;ISK;-9449329,501;REIBOR O/N;0
bank7;2020-01-06;EUR;26802,44398;ESTR O/N;0
bank8;2020-01-06;USD;369712866,9;SOFR O/N;-100
bank9;2020-01-06;USD;0;BGCR O/N;100
bank10;2020-01-06;USD;0,319260489;EFFR O/N;200
bank11;2020-01-06;USD;-3915328,256;TGCR O/N;0
bank12;2020-01-06;USD;19744,84194;OBFR O/N;0
bank13;2020-01-06;ISK;329051196,2;REIBOR O/N;-100
bank14;2020-01-06;EUR;0;ESTR O/N;100
bank15;2020-01-06;USD;0,380439649;SOFR O/N;200
bank16;2020-01-06;USD;-5145416,177;BGCR O/N;0
bank17;2020-01-06;USD;24122,65503;EFFR O/N;0
bank18;2020-01-06;USD;264073456,6;TGCR O/N;-100
bank19;2020-01-06;USD;0;OBFR O/N;100
bank20;2020-01-06;ISK;0,248699188;REIBOR O/N;200
bank1;2020-01-07;USD;-6865959,078;SOFR O/N;0
bank2;2020-01-07;USD;32212,94807;BGCR O/N;0
bank3;2020-01-07;USD;266641180,8;EFFR O/N;-100
bank4;2020-01-07;USD;0;TGCR O/N;100
bank5;2020-01-07;USD;0,34727847;OBFR O/N;200
bank6;2020-01-07;ISK;-9449329,501;REIBOR O/N;0
bank7;2020-01-07;EUR;26534,41954;ESTR O/N;0
bank8;2020-01-07;USD;375258559,9;SOFR O/N;-100
bank9;2020-01-07;USD;0;BGCR O/N;100
bank10;2020-01-07;USD;0,319260489;EFFR O/N;200
bank11;2020-01-07;USD;-3915328,256;TGCR O/N;0
bank12;2020-01-07;USD;19547,39352;OBFR O/N;0
bank13;2020-01-07;ISK;329051196,2;REIBOR O/N;-100
bank14;2020-01-07;EUR;0;ESTR O/N;100
bank15;2020-01-07;USD;0,380439649;SOFR O/N;200
bank16;2020-01-07;USD;-5145416,177;BGCR O/N;0
bank17;2020-01-07;USD;24122,65503;EFFR O/N;0
bank18;2020-01-07;USD;264073456,6;TGCR O/N;-100
bank19;2020-01-07;USD;0;OBFR O/N;100
bank20;2020-01-07;ISK;0,248699188;REIBOR O/N;200
bank1;2020-01-08;USD;-6865959,078;SOFR O/N;0
bank2;2020-01-08;USD;32212,94807;BGCR O/N;0
bank3;2020-01-08;USD;263974769;EFFR O/N;-100
bank4;2020-01-08;USD;0;TGCR O/N;100
bank5;2020-01-08;USD;0,352487647;OBFR O/N;200
bank6;2020-01-08;ISK;-9449329,501;REIBOR O/N;0
bank7;2020-01-08;EUR;26534,41954;ESTR O/N;0
bank8;2020-01-08;USD;375258559,9;SOFR O/N;-100
bank9;2020-01-08;USD;0;BGCR O/N;100
bank10;2020-01-08;USD;0,319260489;EFFR O/N;200
bank11;2020-01-08;USD;-3915328,256;TGCR O/N;0
bank12;2020-01-08;USD;19547,39352;OBFR O/N;0
bank13;2020-01-08;ISK;329051196,2;REIBOR O/N;-100
bank14;2020-01-08;EUR;0;ESTR O/N;100
bank15;2020-01-08;USD;0,376635252;SOFR O/N;200
bank16;2020-01-08;USD;-5093962,016;BGCR O/N;0
bank17;2020-01-08;USD;24484,49485;EFFR O/N;0
bank18;2020-01-08;USD;264073456,6;TGCR O/N;-100
bank19;2020-01-08;USD;0;OBFR O/N;100
bank20;2020-01-08;ISK;0,252429675;REIBOR O/N;200
bank1;2020-01-09;USD;-6968948,464;SOFR O/N;0
bank2;2020-01-09;USD;32212,94807;BGCR O/N;0
bank3;2020-01-09;USD;261335021,3;EFFR O/N;-100
bank4;2020-01-09;USD;0;TGCR O/N;100
bank5;2020-01-09;USD;0,348962771;OBFR O/N;200
bank6;2020-01-09;ISK;-9449329,501;REIBOR O/N;0
bank7;2020-01-09;EUR;26932,43583;ESTR O/N;0
bank8;2020-01-09;USD;380887438,3;SOFR O/N;-100
bank9;2020-01-09;USD;0;BGCR O/N;100
bank10;2020-01-09;USD;0,319260489;EFFR O/N;200
bank11;2020-01-09;USD;-3974058,18;TGCR O/N;0
bank12;2020-01-09;USD;19547,39352;OBFR O/N;0
bank13;2020-01-09;ISK;333986964,1;REIBOR O/N;-100
bank14;2020-01-09;EUR;0;ESTR O/N;100
bank15;2020-01-09;USD;0,376635252;SOFR O/N;200
bank16;2020-01-09;USD;-5170371,446;BGCR O/N;0
bank17;2020-01-09;USD;24239,6499;EFFR O/N;0
bank18;2020-01-09;USD;264073456,6;TGCR O/N;-100
bank19;2020-01-09;USD;0;OBFR O/N;100
bank20;2020-01-09;ISK;0,252429675;REIBOR O/N;200
bank1;2020-01-10;USD;-6968948,464;SOFR O/N;0
bank2;2020-01-10;USD;32696,1423;BGCR O/N;0
bank3;2020-01-10;USD;258721671,1;EFFR O/N;-100
bank4;2020-01-10;USD;0;TGCR O/N;100
bank5;2020-01-10;USD;0,345473143;OBFR O/N;200
bank6;2020-01-10;ISK;-9449329,501;REIBOR O/N;0
bank7;2020-01-10;EUR;26663,11148;ESTR O/N;0
bank8;2020-01-10;USD;380887438,3;SOFR O/N;-100
bank9;2020-01-10;USD;0;BGCR O/N;100
bank10;2020-01-10;USD;0,324049397;EFFR O/N;200
bank11;2020-01-10;USD;-3974058,18;TGCR O/N;0
bank12;2020-01-10;USD;19351,91958;OBFR O/N;0
bank13;2020-01-10;ISK;330647094,5;REIBOR O/N;-100
bank14;2020-01-10;EUR;0;ESTR O/N;100
bank15;2020-01-10;USD;0,3728689;SOFR O/N;200
bank16;2020-01-10;USD;-5247927,018;BGCR O/N;0
bank17;2020-01-10;USD;24239,6499;EFFR O/N;0
bank18;2020-01-10;USD;268034558,4;TGCR O/N;-100
bank19;2020-01-10;USD;0;OBFR O/N;100
bank20;2020-01-10;ISK;0,252429675;REIBOR O/N;200
bank1;2020-01-11;USD;-7073482,691;SOFR O/N;0
bank2;2020-01-11;USD;32696,1423;BGCR O/N;0
bank3;2020-01-11;USD;256134454,4;EFFR O/N;-100
bank4;2020-01-11;USD;0;TGCR O/N;100
bank5;2020-01-11;USD;0,35065524;OBFR O/N;200
bank6;2020-01-11;ISK;-9449329,501;REIBOR O/N;0
bank7;2020-01-11;EUR;26396,48036;ESTR O/N;0
bank8;2020-01-11;USD;377078563,9;SOFR O/N;-100
bank9;2020-01-11;USD;0;BGCR O/N;100
bank10;2020-01-11;USD;0,320808903;EFFR O/N;200
bank11;2020-01-11;USD;-3974058,18;TGCR O/N;0
bank12;2020-01-11;USD;19351,91958;OBFR O/N;0
bank13;2020-01-11;ISK;327340623,5;REIBOR O/N;-100
bank14;2020-01-11;EUR;0;ESTR O/N;100
bank15;2020-01-11;USD;0,369140211;SOFR O/N;200
bank16;2020-01-11;USD;-5247927,018;BGCR O/N;0
bank17;2020-01-11;USD;23997,2534;EFFR O/N;0
bank18;2020-01-11;USD;268034558,4;TGCR O/N;-100
bank19;2020-01-11;USD;0;OBFR O/N;100
bank20;2020-01-11;ISK;0,256216121;REIBOR O/N;200
bank1;2020-01-12;USD;-7002747,864;SOFR O/N;0
bank2;2020-01-12;USD;32696,1423;BGCR O/N;0
bank3;2020-01-12;USD;253573109,8;EFFR O/N;-100
bank4;2020-01-12;USD;0;TGCR O/N;100
bank5;2020-01-12;USD;0,355915069;OBFR O/N;200
bank6;2020-01-12;ISK;-9354836,206;REIBOR O/N;0
bank7;2020-01-12;EUR;26396,48036;ESTR O/N;0
bank8;2020-01-12;USD;377078563,9;SOFR O/N;-100
bank9;2020-01-12;USD;0;BGCR O/N;100
bank10;2020-01-12;USD;0,317600814;EFFR O/N;200
bank11;2020-01-12;USD;-3974058,18;TGCR O/N;0
bank12;2020-01-12;USD;19158,40039;OBFR O/N;0
bank13;2020-01-12;ISK;324067217,3;REIBOR O/N;-100
bank14;2020-01-12;EUR;0;ESTR O/N;100
bank15;2020-01-12;USD;0,374677314;SOFR O/N;200
bank16;2020-01-12;USD;-5247927,018;BGCR O/N;0
bank17;2020-01-12;USD;23997,2534;EFFR O/N;0
bank18;2020-01-12;USD;268034558,4;TGCR O/N;-100
bank19;2020-01-12;USD;0;OBFR O/N;100
bank20;2020-01-12;ISK;0,253653959;REIBOR O/N;200
bank1;2020-01-13;USD;-7002747,864;SOFR O/N;0
bank2;2020-01-13;USD;32696,1423;BGCR O/N;0
bank3;2020-01-13;USD;253573109,8;EFFR O/N;-100
bank4;2020-01-13;USD;0;TGCR O/N;100
bank5;2020-01-13;USD;0,355915069;OBFR O/N;200
bank6;2020-01-13;ISK;-9261287,844;REIBOR O/N;0
bank7;2020-01-13;EUR;26396,48036;ESTR O/N;0
bank8;2020-01-13;USD;382734742,3;SOFR O/N;-100
bank9;2020-01-13;USD;0;BGCR O/N;100
bank10;2020-01-13;USD;0,314424805;EFFR O/N;200
bank11;2020-01-13;USD;-3974058,18;TGCR O/N;0
bank12;2020-01-13;USD;18966,81638;OBFR O/N;0
bank13;2020-01-13;ISK;320826545,1;REIBOR O/N;-100
bank14;2020-01-13;EUR;0;ESTR O/N;100
bank15;2020-01-13;USD;0,380297473;SOFR O/N;200
bank16;2020-01-13;USD;-5247927,018;BGCR O/N;0
bank17;2020-01-13;USD;24357,21221;EFFR O/N;0
bank18;2020-01-13;USD;268034558,4;TGCR O/N;-100
bank19;2020-01-13;USD;0;OBFR O/N;100
bank20;2020-01-13;ISK;0,253653959;REIBOR O/N;200
bank1;2020-01-14;USD;-6932720,385;SOFR O/N;0
bank2;2020-01-14;USD;32696,1423;BGCR O/N;0
bank3;2020-01-14;USD;251037378,7;EFFR O/N;-100
bank4;2020-01-14;USD;0;TGCR O/N;100
bank5;2020-01-14;USD;0,355915069;OBFR O/N;200
bank6;2020-01-14;ISK;-9400207,162;REIBOR O/N;0
bank7;2020-01-14;EUR;26792,42757;ESTR O/N;0
bank8;2020-01-14;USD;378907394,9;SOFR O/N;-100
bank9;2020-01-14;USD;0;BGCR O/N;100
bank10;2020-01-14;USD;0,319141177;EFFR O/N;200
bank11;2020-01-14;USD;-3974058,18;TGCR O/N;0
bank12;2020-01-14;USD;18966,81638;OBFR O/N;0
bank13;2020-01-14;ISK;320826545,1;REIBOR O/N;-100
bank14;2020-01-14;EUR;0;ESTR O/N;100
bank15;2020-01-14;USD;0,380297473;SOFR O/N;200
bank16;2020-01-14;USD;-5247927,018;BGCR O/N;0
bank17;2020-01-14;USD;24357,21221;EFFR O/N;0
bank18;2020-01-14;USD;268034558,4;TGCR O/N;-100
bank19;2020-01-14;USD;0;OBFR O/N;100
bank20;2020-01-14;ISK;0,257458769;REIBOR O/N;200
bank1;2020-01-15;USD;-6932720,385;SOFR O/N;0
bank2;2020-01-15;USD;32696,1423;BGCR O/N;0
bank3;2020-01-15;USD;251037378,7;EFFR O/N;-100
bank4;2020-01-15;USD;0;TGCR O/N;100
bank5;2020-01-15;USD;0,352355918;OBFR O/N;200
bank6;2020-01-15;ISK;-9400207,162;REIBOR O/N;0
bank7;2020-01-15;EUR;26792,42757;ESTR O/N;0
bank8;2020-01-15;USD;378907394,9;SOFR O/N;-100
bank9;2020-01-15;USD;0;BGCR O/N;100
bank10;2020-01-15;USD;0,319141177;EFFR O/N;200
bank11;2020-01-15;USD;-3974058,18;TGCR O/N;0
bank12;2020-01-15;USD;19251,31863;OBFR O/N;0
bank13;2020-01-15;ISK;320826545,1;REIBOR O/N;-100
bank14;2020-01-15;EUR;0;ESTR O/N;100
bank15;2020-01-15;USD;0,380297473;SOFR O/N;200
bank16;2020-01-15;USD;-5247927,018;BGCR O/N;0
bank17;2020-01-15;USD;24357,21221;EFFR O/N;0
bank18;2020-01-15;USD;265354212,8;TGCR O/N;-100
bank19;2020-01-15;USD;0;OBFR O/N;100
bank20;2020-01-15;ISK;0,257458769;REIBOR O/N;200
bank1;2020-01-16;USD;-7036711,191;SOFR O/N;0
bank2;2020-01-16;USD;32696,1423;BGCR O/N;0
bank3;2020-01-16;USD;251037378,7;EFFR O/N;-100
bank4;2020-01-16;USD;0;TGCR O/N;100
bank5;2020-01-16;USD;0,352355918;OBFR O/N;200
bank6;2020-01-16;ISK;-9400207,162;REIBOR O/N;0
bank7;2020-01-16;EUR;26524,50329;ESTR O/N;0
bank8;2020-01-16;USD;378907394,9;SOFR O/N;-100
bank9;2020-01-16;USD;0;BGCR O/N;100
bank10;2020-01-16;USD;0,315949766;EFFR O/N;200
bank11;2020-01-16;USD;-3934317,598;TGCR O/N;0
bank12;2020-01-16;USD;19251,31863;OBFR O/N;0
bank13;2020-01-16;ISK;320826545,1;REIBOR O/N;-100
bank14;2020-01-16;EUR;0;ESTR O/N;100
bank15;2020-01-16;USD;0,386001935;SOFR O/N;200
bank16;2020-01-16;USD;-5247927,018;BGCR O/N;0
bank17;2020-01-16;USD;24357,21221;EFFR O/N;0
bank18;2020-01-16;USD;265354212,8;TGCR O/N;-100
bank19;2020-01-16;USD;0;OBFR O/N;100
bank20;2020-01-16;ISK;0,257458769;REIBOR O/N;200
bank1;2020-01-17;USD;-7036711,191;SOFR O/N;0
bank2;2020-01-17;USD;32696,1423;BGCR O/N;0
bank3;2020-01-17;USD;248527004,9;EFFR O/N;-100
bank4;2020-01-17;USD;0;TGCR O/N;100
bank5;2020-01-17;USD;0,357641257;OBFR O/N;200
bank6;2020-01-17;ISK;-9306205,09;REIBOR O/N;0
bank7;2020-01-17;EUR;26524,50329;ESTR O/N;0
bank8;2020-01-17;USD;378907394,9;SOFR O/N;-100
bank9;2020-01-17;USD;0;BGCR O/N;100
bank10;2020-01-17;USD;0,312790268;EFFR O/N;200
bank11;2020-01-17;USD;-3934317,598;TGCR O/N;0
bank12;2020-01-17;USD;19058,80544;OBFR O/N;0
bank13;2020-01-17;ISK;325638943,3;REIBOR O/N;-100
bank14;2020-01-17;EUR;0;ESTR O/N;100
bank15;2020-01-17;USD;0,386001935;SOFR O/N;200
bank16;2020-01-17;USD;-5326645,923;BGCR O/N;0
bank17;2020-01-17;USD;24113,64008;EFFR O/N;0
bank18;2020-01-17;USD;269334526;TGCR O/N;-100
bank19;2020-01-17;USD;0;OBFR O/N;100
bank20;2020-01-17;ISK;0,257458769;REIBOR O/N;200
bank1;2020-01-18;USD;-6966344,079;SOFR O/N;0
bank2;2020-01-18;USD;32369,18087;BGCR O/N;0
bank3;2020-01-18;USD;248527004,9;EFFR O/N;-100
bank4;2020-01-18;USD;0;TGCR O/N;100
bank5;2020-01-18;USD;0,354064844;OBFR O/N;200
bank6;2020-01-18;ISK;-9213143,039;REIBOR O/N;0
bank7;2020-01-18;EUR;26524,50329;ESTR O/N;0
bank8;2020-01-18;USD;384591005,8;SOFR O/N;-100
bank9;2020-01-18;USD;0;BGCR O/N;100
bank10;2020-01-18;USD;0,312790268;EFFR O/N;200
bank11;2020-01-18;USD;-3993332,362;TGCR O/N;0
bank12;2020-01-18;USD;19058,80544;OBFR O/N;0
bank13;2020-01-18;ISK;325638943,3;REIBOR O/N;-100
bank14;2020-01-18;EUR;0;ESTR O/N;100
bank15;2020-01-18;USD;0,386001935;SOFR O/N;200
bank16;2020-01-18;USD;-5273379,464;BGCR O/N;0
bank17;2020-01-18;USD;24113,64008;EFFR O/N;0
bank18;2020-01-18;USD;269334526;TGCR O/N;-100
bank19;2020-01-18;USD;0;OBFR O/N;100
bank20;2020-01-18;ISK;0,254884181;REIBOR O/N;200
bank1;2020-01-19;USD;-7070839,24;SOFR O/N;0
bank2;2020-01-19;USD;32369,18087;BGCR O/N;0
bank3;2020-01-19;USD;248527004,9;EFFR O/N;-100
bank4;2020-01-19;USD;0;TGCR O/N;100
bank5;2020-01-19;USD;0,350524196;OBFR O/N;200
bank6;2020-01-19;ISK;-9351340,185;REIBOR O/N;0
bank7;2020-01-19;EUR;26922,37084;ESTR O/N;0
bank8;2020-01-19;USD;380745095,8;SOFR O/N;-100
bank9;2020-01-19;USD;0;BGCR O/N;100
bank10;2020-01-19;USD;0,312790268;EFFR O/N;200
bank11;2020-01-19;USD;-4053232,347;TGCR O/N;0
bank12;2020-01-19;USD;19058,80544;OBFR O/N;0
bank13;2020-01-19;ISK;322382553,9;REIBOR O/N;-100
bank14;2020-01-19;EUR;0;ESTR O/N;100
bank15;2020-01-19;USD;0,386001935;SOFR O/N;200
bank16;2020-01-19;USD;-5273379,464;BGCR O/N;0
bank17;2020-01-19;USD;24113,64008;EFFR O/N;0
bank18;2020-01-19;USD;266641180,8;TGCR O/N;-100
bank19;2020-01-19;USD;0;OBFR O/N;100
bank20;2020-01-19;ISK;0,258707444;REIBOR O/N;200
bank1;2020-01-20;USD;-7070839,24;SOFR O/N;0
bank2;2020-01-20;USD;32369,18087;BGCR O/N;0
bank3;2020-01-20;USD;248527004,9;EFFR O/N;-100
bank4;2020-01-20;USD;0;TGCR O/N;100
bank5;2020-01-20;USD;0,350524196;OBFR O/N;200
bank6;2020-01-20;ISK;-9351340,185;REIBOR O/N;0
bank7;2020-01-20;EUR;27326,2064;ESTR O/N;0
bank8;2020-01-20;USD;386456272,2;SOFR O/N;-100
bank9;2020-01-20;USD;0;BGCR O/N;100
bank10;2020-01-20;USD;0,309662365;EFFR O/N;200
bank11;2020-01-20;USD;-4012700,024;TGCR O/N;0
bank12;2020-01-20;USD;18868,21739;OBFR O/N;0
bank13;2020-01-20;ISK;322382553,9;REIBOR O/N;-100
bank14;2020-01-20;EUR;0;ESTR O/N;100
bank15;2020-01-20;USD;0,382141916;SOFR O/N;200
bank16;2020-01-20;USD;-5273379,464;BGCR O/N;0
bank17;2020-01-20;USD;24475,34468;EFFR O/N;0
bank18;2020-01-20;USD;270640798,5;TGCR O/N;-100
bank19;2020-01-20;USD;0;OBFR O/N;100
bank20;2020-01-20;ISK;0,256120369;REIBOR O/N;200
bank1;2020-01-21;USD;-7176901,829;SOFR O/N;0
bank2;2020-01-21;USD;32369,18087;BGCR O/N;0
bank3;2020-01-21;USD;248527004,9;EFFR O/N;-100
bank4;2020-01-21;USD;0;TGCR O/N;100
bank5;2020-01-21;USD;0,355782059;OBFR O/N;200
bank6;2020-01-21;ISK;-9351340,185;REIBOR O/N;0
bank7;2020-01-21;EUR;27736,0995;ESTR O/N;0
bank8;2020-01-21;USD;382591709,5;SOFR O/N;-100
bank9;2020-01-21;USD;0;BGCR O/N;100
bank10;2020-01-21;USD;0,309662365;EFFR O/N;200
bank11;2020-01-21;USD;-4012700,024;TGCR O/N;0
bank12;2020-01-21;USD;18679,53522;OBFR O/N;0
bank13;2020-01-21;ISK;322382553,9;REIBOR O/N;-100
bank14;2020-01-21;EUR;0;ESTR O/N;100
bank15;2020-01-21;USD;0,378320497;SOFR O/N;200
bank16;2020-01-21;USD;-5220645,669;BGCR O/N;0
bank17;2020-01-21;USD;24842,47485;EFFR O/N;0
bank18;2020-01-21;USD;274700410,5;TGCR O/N;-100
bank19;2020-01-21;USD;0;OBFR O/N;100
bank20;2020-01-21;ISK;0,253559166;REIBOR O/N;200
bank1;2020-01-22;USD;-7176901,829;SOFR O/N;0
bank2;2020-01-22;USD;32854,71859;BGCR O/N;0
bank3;2020-01-22;USD;248527004,9;EFFR O/N;-100
bank4;2020-01-22;USD;0;TGCR O/N;100
bank5;2020-01-22;USD;0,36111879;OBFR O/N;200
bank6;2020-01-22;ISK;-9351340,185;REIBOR O/N;0
bank7;2020-01-22;EUR;27736,0995;ESTR O/N;0
bank8;2020-01-22;USD;378765792,4;SOFR O/N;-100
bank9;2020-01-22;USD;0;BGCR O/N;100
bank10;2020-01-22;USD;0,309662365;EFFR O/N;200
bank11;2020-01-22;USD;-4072890,524;TGCR O/N;0
bank12;2020-01-22;USD;18959,72824;OBFR O/N;0
bank13;2020-01-22;ISK;327218292,2;REIBOR O/N;-100
bank14;2020-01-22;EUR;0;ESTR O/N;100
bank15;2020-01-22;USD;0,378320497;SOFR O/N;200
bank16;2020-01-22;USD;-5298955,354;BGCR O/N;0
bank17;2020-01-22;USD;24842,47485;EFFR O/N;0
bank18;2020-01-22;USD;274700410,5;TGCR O/N;-100
bank19;2020-01-22;USD;0;OBFR O/N;100
bank20;2020-01-22;ISK;0,251023574;REIBOR O/N;200
bank1;2020-01-23;USD;-7176901,829;SOFR O/N;0
bank2;2020-01-23;USD;32854,71859;BGCR O/N;0
bank3;2020-01-23;USD;252254910;EFFR O/N;-100
bank4;2020-01-23;USD;0;TGCR O/N;100
bank5;2020-01-23;USD;0,366535572;OBFR O/N;200
bank6;2020-01-23;ISK;-9491610,288;REIBOR O/N;0
